species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD34,CD34
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD146,MCAM
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD271,NGFR
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD31,PECAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD45,PTPRC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD105,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD49a,ITGA1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD90,THY1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD271,NGFR
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD105,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,HLA-ABC,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD106,VCAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD45,PTPRC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD29,ITGB1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD44,CD44
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD34,CD34
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD73,NT5E
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD9,CD9
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD44,CD44
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD90,THY1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD105,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD73,NT5E
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD90,THY1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD90,THY1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD34,CD34
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD31,PECAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD105,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD45,PTPRC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,OCT4,POU5F1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,KLF4,KLF4
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,c-Myc,MYC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD29,ITGB1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD105,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,NANOG,NANOG
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD44,CD44
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,SOX2,SOX2
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD31,PECAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD105,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,c-Kit,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD45,PTPRC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD31,PECAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD34,CD34
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD55,CD55
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD9,CD9
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD11a,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD11c,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD49d,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD10,MME
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD59,CD59
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD144,CDH5
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD44,CD44
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD54,ICAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD34,CD34
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD71,TFRC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD106,VCAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD29,ITGB1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD45,PTPRC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD90,THY1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD34,CD34
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD31,PECAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,KLF4,KLF4
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD90,THY1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,PDGFR,PDGFRB
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,CD146,MCAM
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,NANOG,NANOG
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,SOX2,SOX2
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,OCT4,POU5F1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,Nestin,
