species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD31,PECAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD34,CD34
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD144,CDH5
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,KLF4,KLF4
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD29,ITGB1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,OCT4,POU5F1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,NANOG,NANOG
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,c-Myc,MYC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD44,CD44
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,SOX2,SOX2
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD105,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD31,PECAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD73,NT5E
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD105,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD45,PTPRC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD106,VCAM1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD34,CD34
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD44,CD44
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD90,THY1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD71,TFRC
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD105,
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD166,ALCAM
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD90,THY1
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD73,NT5E
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD44,CD44
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD10,MME
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD13,ANPEP
Human,Adipose tissue,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,CD29,ITGB1
