species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,TGFBI,TGFBI
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,TNFAIP6,TNFAIP6
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,THBS3,THBS3
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,PTGES,PTGES
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,PPIC,PPIC
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,SRPX2,SRPX2
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,CRLF1,CRLF1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,GOLGA7B,GOLGA7B
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,CRTAC1,CRTAC1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,ASPN,ASPN
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,TNC,TNC
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,GALNT16,GALNT16
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,COL5A1,COL5A1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,SOX11,SOX11
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,FAP,FAP
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,TPPP3,TPPP3
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,ADAMTS5,ADAMTS5
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,MXRA5,MXRA5
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,CRIP1,CRIP1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,F5,F5
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,OSTC,OSTC
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,AMTN,AMTN
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,GALNT15,GALNT15
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,SEMA3C,SEMA3C
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,ABI3BP,ABI3BP
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,SLC7A2,SLC7A2
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,COL15A1,COL15A1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,PART1,PART1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,STEAP1,STEAP1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,DPT,DPT
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,NT5E,NT5E
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,AKR1C2,AKR1C2
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,COL3A1,COL3A1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,S100A4,S100A4
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,CAPS,CAPS
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Prehypertrophic chondrocyte,,AOC2,AOC2
