species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,NOTCH2,NOTCH2
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,BMP6,BMP6
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,NGF,NGF
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,JHDM1D-AS1,KDM7A-DT
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,GOT1,GOT1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,EIF4EBP1,EIF4EBP1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,ERCC1,ERCC1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,KIAA0020,PUM3
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,GLIS3,GLIS3
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,ATP13A3,ATP13A3
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,CDV3,CDV3
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,LRRC8C,LRRC8C
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,ASNS,ASNS
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,ACTN1,ACTN1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,PTRF,CAVIN1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,B3GNT5,B3GNT5
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,NOP16,NOP16
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,GPATCH4,GPATCH4
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,C3orf52,C3orf52
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,SLC7A1,SLC7A1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,METRNL,METRNL
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,RPF2,RPF2
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,INHBA-AS1,INHBA-AS1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,ST3GAL1,ST3GAL1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,PDCD11,PDCD11
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,UPP1,UPP1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,FAM101B,RFLNB
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,SMOX,SMOX
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,RYBP,RYBP
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,SLC4A7,SLC4A7
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,P3H2,P3H2
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,MTHFD2,MTHFD2
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,TGFB1,TGFB1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,DDX21,DDX21
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,TXNRD1,TXNRD1
Human,Articular Cartilage,Articular Cartilage,,Normal,Normal cell,Proliferative chondrocyte,,SNX9,SNX9
