species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SUCLA2,SUCLA2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CEP95,CEP95
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,RAD1,RAD1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,ALDH2,ALDH2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SLC35C2,SLC35C2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,BAIAP2,BAIAP2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SLC41A2,SLC41A2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SUSD1,SUSD1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,MGLL,MGLL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,STX18,STX18
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,MECR,MECR
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,AK125727,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,RUNX2,RUNX2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,PTGDS,PTGDS
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SIGLEC6,SIGLEC6
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CD300LG,CD300LG
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,BIN1,BIN1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,THBD,THBD
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SLC20A1,SLC20A1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CX3CR1,CX3CR1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,STAG3L4,STAG3L4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,C5ORF25,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,MRPS6,MRPS6
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CD5,CD5
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CDH1,CDH1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,ATF5,ATF5
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CD300LB,CD300LB
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CD72,CD72
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,AXL,AXL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,ADAM33,ADAM33
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,DAB2,DAB2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,IRF4,IRF4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,ZEB1,ZEB1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,USF2,USF2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,NDRG1,NDRG1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SEPT6',
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,PPP1R14A,PPP1R14A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,KLF4,KLF4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SP4,SP4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,UPK3A,UPK3A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,S100A10,S100A10
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,PLAC8,PLAC8
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,COQ7,COQ7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,LAX1,LAX1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SCN9A,SCN9A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SOX4,SOX4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CXCR2,CXCR2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,DPYSL2,DPYSL2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,GGTA1P,GGTA1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,TNFSF12,TNFSF12
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,FAM105A,OTULINL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,FAM129A,NIBAN1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,PIM2,PIM2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,LTK,LTK
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CTSW,CTSW
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,KLF12,KLF12
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,HIP1,HIP1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CD22,CD22
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,ENTPD7,ENTPD7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,RNF141,RNF141
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,RNASEL,RNASEL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,GPR146,GPR146
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,VASH1,VASH1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SLC4A3,SLC4A3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CDKN1A,CDKN1A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,TXN,TXN
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,BHLHE40,BHLHE40
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,GNAQ,GNAQ
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,MYH11,MYH11
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,ZNF789,ZNF789
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,TBC1D9,TBC1D9
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,MED12L,MED12L
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,ATP2B4,ATP2B4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,TNNI2,TNNI2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,ACPP,ACP3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SNRNP25,SNRNP25
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,MYO1E,MYO1E
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,RBL1,RBL1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,LGMN,LGMN
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,SIGLEC1,SIGLEC1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,CCND3,CCND3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,ARHGAP18,ARHGAP18
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,PLA2G16,PLAAT3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,APEX1,APEX1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,AXL+SIGLEC6+ dendritic cell,CL_0001056,TSEN54,TSEN54
