species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD71,TFRC
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD29,ITGB1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD25,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CXCR3,CXCR3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD14,CD14
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD45RA,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD38,CD38
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CCR6,CCR6
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD19,CD19
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD45RO,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD69,CD69
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD3D,CD3D
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,IL7R,IL7R
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,HLADR,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD38,CD38
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Activated CD4+ T cell,CL_0001043,CD3,
