species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD45RO,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD8,CD8A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD8,CD8A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,MYC,MYC
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,SELL,SELL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,MAL,MAL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,SOCS3,SOCS3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,LEF1,LEF1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,NOSIP,NOSIP
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,RCAN3,RCAN3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,TCF7,TCF7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,TSHZ2,TSHZ2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,SELL,SELL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD8a,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Central memory CD8+ T cell,CL_0000907,CD27,CD27
