species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD83,CD83
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD83,CD83
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CLEC9A,CLEC9A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD163,CD163
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD141,THBD
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD83,CD83
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD86,CD86
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD80,CD80
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD40,CD40
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,HLA-DR,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CLEC10A,CLEC10A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,HLA-DR,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,Lin,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CST3,CST3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD1C,CD1C
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,LYZ,LYZ
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CLEC10A,CLEC10A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD123,IL3RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD11c,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,HLA-DR,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,LILRA4,LILRA4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CST3,CST3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,HLADR,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,FLT3,FLT3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,HLA-DPA1,HLA-DPA1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,HLA-DQA1,HLA-DQA1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,HLADR,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD11c,
