species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD45,PTPRC
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD34,CD34
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD133,PROM1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD144,CDH5
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,VWF,VWF
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CDH5,CDH5
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,SELE,SELE
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD31,PECAM1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD202b,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD105,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,PD-L1,CD274
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD309,KDR
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD146,MCAM
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Endothelial cell,CL_0000115,CD31,PECAM1
