species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD11b,
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,F4/80,
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD11c,
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CSF1r,
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD11b,
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD11b,
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Blood,Serum,UBERON_0001977,Normal,Normal cell,Macrophage,CL_0000235,F4/80,
