species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD19,CD19
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD19,CD19
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,NEDD4L,NEDD4L
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,KIF16B,KIF16B
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,AQP5,AQP5
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CLECL1,CLECL1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,TCF7,TCF7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,AIM2,AIM2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,TFEC,TFEC
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,KLK1,KLK1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,KLF10,KLF10
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,EBI3,EBI3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD70,CD70
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,ZBTB32,ZBTB32
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CXCR3,CXCR3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory B cell,CL_0000787,CD8+,
