species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD46RO,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD45RO,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD45RO,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD3D,CD3D
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD45RO,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD8,CD8A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD8EM1,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,IL7R,IL7R
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,EOMES,EOMES
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,RUNX2,RUNX2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,ABCB1,ABCB1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Memory T cell,CL_0000813,CD161,KLRB1
