species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD8,CD8A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD45RA,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD8,CD8A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD45RA,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,TCF7,TCF7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,LEF1,LEF1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,RCAN3,RCAN3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,MAL,MAL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,NOSIP,NOSIP
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,LEF1,LEF1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,SELL,SELL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,TCF7,TCF7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,SOCS3,SOCS3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,TSHZ2,TSHZ2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,MYC,MYC
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD28,CD28
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD3E,CD3E
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,LEF1,LEF1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,SELL,SELL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD8A,CD8A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD8B,CD8B
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD27,CD27
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,TCF7,TCF7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,S1PR1,S1PR1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,SELL,SELL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,TCF7,TCF7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,LEF1,LEF1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD45RA,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,TCF7,TCF7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,SELL,SELL
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,LEF1,LEF1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CCR7,CCR7
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD8,CD8A
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD45RA,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD8a,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Naive CD8+ T cell,,CD27,CD27
