species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CCR7,CCR7
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD4,CD4
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD45RA,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD3,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,LEF1,LEF1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD27,CD27
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CCR7,CCR7
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,SELL,SELL
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CCR7,CCR7
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CCR7,CCR7
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD3,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD45RO,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD45RA,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,FABP5,FABP5
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,SELL,SELL
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,PTMA,PTMA
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,NCL,NCL
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,HSPD1,HSPD1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,NPM1,NPM1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,HSP90AB1,HSP90AB1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,HMGA1,HMGA1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD4,CD4
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD45RA,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CD3D,CD3D
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Naive T(Th0) cell,CL_0000898,CCR7,CCR7
