species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD66b,CEACAM8
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD16,FCGR3A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD15,FUT4
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD11b,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD49d,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,GP110,CD68
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,FMLP,FPR1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD15,FUT4
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD66b,CEACAM8
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,HLA-DR,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD11c,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD14,CD14
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD11b,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD15,FUT4
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD16,FCGR3A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD33,CD33
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD123,IL3RA
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,MPO,MPO
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,ELANE,ELANE
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CAMP,CAMP
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,SSC,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD16,FCGR3A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD16,FCGR3A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD11a,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,ITGAL,ITGAL
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,ITGAM,ITGAM
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CXCR1,CXCR1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CXCR2,CXCR2
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,MME,MME
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,SELL,SELL
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD11b,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD55,CD55
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD10,MME
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,LYZ,LYZ
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,FCGR3B,FCGR3B
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CXCR2,CXCR2
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CSF3R,CSF3R
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD62L,SELL
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,MPO,MPO
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CTSG,CTSG
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,FCGR3B,FCGR3B
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,CD16,FCGR3A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,PRTN3,PRTN3
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Neutrophil,CL_0000775,AZU1,AZU1
