species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,IGJ,JCHAIN
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,LILRA4,LILRA4
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,MZB1,MZB1
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD11c,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD1c,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CST3,CST3
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,LILRA4,LILRA4
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,PLD4,PLD4
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,IL3RA,IL3RA
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,Bmp4,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,Sox2,
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,ISG15,ISG15
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,UBC,UBC
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CLEC10A,CLEC10A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,IRF8,IRF8
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,IFITM3,IFITM3
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,IFI6,IFI6
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CYBA,CYBA
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD1C,CD1C
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,HSPA5,HSPA5
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,IRF7,IRF7
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CLEC12A,CLEC12A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,LILRB4,LILRB4
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CLEC4C,CLEC4C
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,IL3RA,IL3RA
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD1C,CD1C
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD1E,CD1E
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,IL3RA,IL3RA
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,FCER1A,FCER1A
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD141,THBD
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD1C,CD1C
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD1C,CD1C
Human,Blood,Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CLEC10A,CLEC10A
