species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,TPSAB2,
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,TPSAB1,TPSAB1
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,CPA3,CPA3
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,KIT,KIT
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,MS4A2,MS4A2
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,CD8A,CD8A
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,CD3E,CD3E
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,IL32,IL32
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,JUNB,JUNB
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,CD8+ T cell,CL_0000625,IL7R,IL7R
