species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,SULT1C2,SULT1C2
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,SIGLEC5,SIGLEC5
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,SPI1,SPI1
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,MARCO,MARCO
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CXCL5,CXCL5
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,S100A9,S100A9
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,S100A12,S100A12
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,DYSF,DYSF
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,PTGDS,PTGDS
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,SIGLEC3,CD33
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,BST1,BST1
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,S100A8,S100A8
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CSF3R,CSF3R
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,AC020656.1,
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CCL7,CCL7
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CLEC5A,CLEC5A
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,FUT4,FUT4
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,Csta1,
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,PCOLCE2,PCOLCE2
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CD163,CD163
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CSF1R,CSF1R
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,MSR1,MSR1
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,FLT3,FLT3
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CHI3L1,CHI3L1
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,SERPINA1,SERPINA1
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CD83,CD83
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CD14,CD14
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CD93,CD93
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,FPR1,FPR1
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,FPR2,FPR2
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,COL8A2,COL8A2
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CEBPA,CEBPA
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CTSK,CTSK
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,TNFRSF10C,TNFRSF10C
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CREB5,CREB5
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,VNN3,VNN3P
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,FCGR3A,FCGR3A
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CD1C,CD1C
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CHIT1,CHIT1
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,MNDA,MNDA
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CRISPLD2,CRISPLD2
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,LILRB2,LILRB2
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,FCGR3B,FCGR3B
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,ME1,ME1
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CEACAM3,CEACAM3
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,G0S2,G0S2
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,ATG7,ATG7
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,CYBB,CYBB
Human,Bone marrow,Bone marrow,UBERON_0002371,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell,CL_0000763,MS4A4A,MS4A4A
