species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,FLT3,FLT3
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,GYPA,GYPA
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,PROM1,PROM1
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,SULT1C2,SULT1C2
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,PTGDS,PTGDS
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,CXCL5,CXCL5
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,SPI1,SPI1
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,TNFRSF10C,TNFRSF10C
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,CCL7,CCL7
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,S100A12,S100A12
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,SIGLEC5,SIGLEC5
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,MARCO,MARCO
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,DYSF,DYSF
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,CHI3L1,CHI3L1
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,CEACAM3,CEACAM3
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,CLEC5A,CLEC5A
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,CHIT1,CHIT1
Human,Bone marrow,Bone marrow,UBERON_0002371,Normal,Normal cell,Myeloid cell,CL_0000763,CD93,CD93
