species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD19,CD19
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD34,CD34
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD44,CD44
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD166,ALCAM
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD13,ANPEP
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD340,ERBB2
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD49e,ITGA5
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD51,ITGAV
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD29,ITGB1
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD117,KIT
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD10,MME
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD56,NCAM1
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD271,NGFR
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD73,NT5E
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD31,PECAM1
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD45,PTPRC
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD71,TFRC
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD120a,TNFRSF1A
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD106,VCAM1
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD140b,
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD49d,
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,Ly6A/E,
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD29,ITGB1
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD146,MCAM
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD45,PTPRC
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,ADSCs,
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,HLA-DR,
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD73,NT5E
Human,Bone,Bone,UBERON_0002481,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD34,CD34
