species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3E,CD3E
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3D,CD3D
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD2,CD2
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3G,CD3G
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3,
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3G,CD3G
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3D,CD3D
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD274,CD274
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3G,CD3G
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3E,CD3E
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,BST2,BST2
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3D,CD3D
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD8b,
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3E,CD3E
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD247,CD247
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD8a,
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3G,CD3G
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3D,CD3D
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,GZMK,GZMK
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3E,CD3E
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,TRBC2,TRBC2
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3D,CD3D
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,GZMA,GZMA
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3,
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,RPS15A,RPS15A
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,RPS12,RPS12
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3D,CD3D
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD52,CD52
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,CD3E,CD3E
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,IL32,IL32
Human,Brain,Brain,UBERON_0000955,Glioblastoma,Cancer cell,T cell,CL_0000084,RPL28,RPL28
