species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,SEMA5A,SEMA5A
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,CSPG5,CSPG5
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,ELAVL4,ELAVL4
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,SYT1,SYT1
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,ITM2C,ITM2C
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,OLIG1,OLIG1
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,BCAN,BCAN
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,CD82,CD82
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,BCL11A,BCL11A
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,SOX10,SOX10
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,OCIAD2,OCIAD2
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,NKX2-2,NKX2-2
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,DBI,DBI
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,RAB31,RAB31
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,PDE4B,PDE4B
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,PLAT,PLAT
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,BRINP3,BRINP3
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,C2orf80,C2orf80
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,GATM,GATM
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,SOX6,SOX6
Human,Embryo,Embryonic prefrontal cortex,,Normal,Normal cell,Oligodendrocyte progenitor cell,CL_0002453,RAMP1,RAMP1
