species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,KRT5,KRT5
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,KRT19,KRT19
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,KRT15,KRT15
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,KRT5,KRT5
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,LGALS1,LGALS1
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,KRT15,KRT15
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,ITGA6,ITGA6
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,S100A2,S100A2
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,PDPN,PDPN
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,NGFR,NGFR
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,ITGB4,ITGB4
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,KRT14,KRT14
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,TP63,TP63
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,NPPC,NPPC
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,LAMB3,LAMB3
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,KRT5,KRT5
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,DST,DST
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,BCAM,BCAM
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,LAMA3,LAMA3
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,KRT5,KRT5
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,TP63,TP63
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Basal cell,CL_0000646,DAPL1,DAPL1
