species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,FOXJ1,FOXJ1
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,FAM183A,FAM183A
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,LRRIQ1,LRRIQ1
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,TSPAN1,TSPAN1
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,CAPS,CAPS
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,TUBB4B,TUBB4B
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,TPPP3,TPPP3
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,DNAH5,DNAH5
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,C20orf85,C20orf85
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,DNAH12,DNAH12
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,SNTN,SNTN
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,FOXJ1,FOXJ1
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,PIFO,PIFO
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,FOXJ1,FOXJ1
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,CCDC153,CCDC153
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,CCDC113,CCDC113
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,MLF1,MLF1
Human,Epithelium,Airway epithelium,UBERON_0004802,Normal,Normal cell,Ciliated cell,CL_0000064,LZTFL1,LZTFL1
