species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,POLL,POLL
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,CMTM3,CMTM3
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,ADAM33,ADAM33
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,LETMD1,LETMD1
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,RIC1,RIC1
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,APCDD1L-AS1,APCDD1L-DT
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,FBN1,FBN1
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,XPNPEP2,XPNPEP2
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,TBC1D8B,TBC1D8B
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,TADA2B,TADA2B
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,METTL25,METTL25
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,NOD1,NOD1
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,FZD10-AS1,FZD10-AS1
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,FGFR1,FGFR1
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,CTSK,CTSK
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,EGR2,EGR2
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,BMP1,BMP1
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,CILP,CILP
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,PDGFRL,PDGFRL
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,NRP1,NRP1
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,TRIM6,TRIM6
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,SH3PXD2B,SH3PXD2B
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,PIANP,PIANP
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,ELOVL6,ELOVL6
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,JAM2,JAM2
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,LCAT,LCAT
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,ZNF761,ZNF761
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,LUM,LUM
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,FURIN,FURIN
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,PAMR1,PAMR1
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,USP49,USP49
Human,Esophagus,Esophagus,UBERON_0001043,Normal,Normal cell,FGFR1HighNME5- epithelial cell,CL_0000066,ADAM22,ADAM22
