species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,A2M,A2M
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ABCB7,ABCB7
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ACYP1,ACYP1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,DPYSL2,DPYSL2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,XRCC5,XRCC5
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,DTYMK,DTYMK
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ITGB3BP,ITGB3BP
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,AEBP1,AEBP1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ZNF195,ZNF195
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,EIF2S3,EIF2S3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,TMSB15A,TMSB15A
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ANP32E,ANP32E
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ELF1,ELF1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ELK3,ELK3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,BIN1,BIN1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,BRD3,BRD3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ANXA2,ANXA2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,EPHB4,EPHB4
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,RAB1B,RAB1B
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SH3BGRL3,SH3BGRL3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,NSMCE4A,NSMCE4A
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ETS2,ETS2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,BIRC5,BIRC5
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,FSTL1,FSTL1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,STX7,STX7
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,NSMCE2,NSMCE2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,HIST1H1E,H1-4
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,H2AFZ,H2AZ1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,FGFR1,FGFR1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,IDH2,IDH2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,BBS4,BBS4
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,BCAT1,BCAT1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ANO10,ANO10
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,BCHE,BCHE
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,TMEM107,TMEM107
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CDK13,CDK13
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CEP152,CEP152
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,BNIP3,BNIP3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,BUB1B,BUB1B
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,TSPO,TSPO
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,C19orf48,C19orf48
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SERPING1,SERPING1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,GPC3,GPC3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,NRP1,NRP1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,GGH,GGH
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,GMDS,GMDS
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CASP7,CASP7
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ADGRL2,ADGRL2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,AP1S2,AP1S2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,PTEN,PTEN
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CCNG1,CCNG1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,TMEM116,TMEM116
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,NR2F1-AS1,NR2F1-AS1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,COTL1,COTL1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,LDB2,LDB2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CBX1,CBX1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,TSPAN12,TSPAN12
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,HELLS,HELLS
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,KLHL7,KLHL7
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,BUB3,BUB3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,PTTG1,PTTG1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,FLRT2,FLRT2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,HLA-E,HLA-E
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,HMGB1,HMGB1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,HMGB3,HMGB3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,HMGN2,HMGN2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CMTM7,CMTM7
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CDCA5,CDCA5
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SLIT2,SLIT2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,EFHC1,EFHC1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,RCHY1,RCHY1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SEPP1,SELENOP
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ZNF521,ZNF521
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,HSPB1,HSPB1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ITM2A,ITM2A
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CDC42EP2,CDC42EP2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,KIF23,KIF23
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CD34,CD34
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,HAPLN1,HAPLN1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ENTPD1,ENTPD1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,KIF20B,KIF20B
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,AKAP12,AKAP12
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,HIST1H4C,H4C3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,KNTC1,KNTC1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,DLGAP5,DLGAP5
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SMTN,SMTN
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ARMCX2,ARMCX2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SNRPD1,SNRPD1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,MRPL13,MRPL13
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,KIAA0355,GARRE1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,KIAA0101,PCLAF
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CDKN1C,CDKN1C
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ARL4A,ARL4A
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,RCBTB2,RCBTB2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CKS1B,CKS1B
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,RAMP2,RAMP2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ZEB1,ZEB1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,COL6A2,COL6A2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,MEIS2,MEIS2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,FKBP1A,FKBP1A
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,PPIH,PPIH
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SKA2,SKA2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SLC39A9,SLC39A9
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,MYH10,MYH10
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,DAB2,DAB2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,FAM73A,MIGA1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,INVS,INVS
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,TUBB,TUBB
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ITGA5,ITGA5
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,WDR76,WDR76
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,GNG11,GNG11
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,PLK2,PLK2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,DNMT1,DNMT1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,CENPK,CENPK
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,GPR161,GPR161
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,DNAJC1,DNAJC1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SOX4,SOX4
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,GYPC,GYPC
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,LDHA,LDHA
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,EIF4E,EIF4E
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SSBP2,SSBP2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,LRRN3,LRRN3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,PDE6D,PDE6D
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,WDHD1,WDHD1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,F2R,F2R
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,LMO4,LMO4
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ZNF286A,ZNF286A
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,S100A4,S100A4
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,FN1,FN1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,THOC3,THOC3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,POLR2E,POLR2E
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ARL8B,ARL8B
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,PEAR1,PEAR1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,KIF22,KIF22
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,PPP6C,PPP6C
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,RPAP2,RPAP2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,MYD88,MYD88
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SPAG5,SPAG5
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,ST6GAL1,ST6GAL1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,AMZ2P1,AMZ2P1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Endothelial cell,CL_0000115,SLC35E3,SLC35E3
