species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,VEGFA,VEGFA
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ACACA,ACACA
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,MTHFD2,MTHFD2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ZNF275,ZNF275
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ADCY7,ADCY7
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,GRPEL1,GRPEL1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,TET1,TET1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,AP2B1,AP2B1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,AGL,AGL
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,JAG1,JAG1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,AK1,AK1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ODC1,ODC1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ALAS1,ALAS1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ALCAM,ALCAM
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,EFNB1,EFNB1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ALDH1B1,ALDH1B1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,CXCR4,CXCR4
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ALDOC,ALDOC
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,HSPA12A,HSPA12A
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,RAB31,RAB31
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,AMT,AMT
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,BRD3,BRD3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ANPEP,ANPEP
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,NETO2,NETO2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,EPHX1,EPHX1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ADPGK,ADPGK
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,APBB2,APBB2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,NAA10,NAA10
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,APOC1,APOC1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,GATAD2A,GATAD2A
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,EXTL2,EXTL2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,APOE,APOE
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,TLN2,TLN2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,MAD1L1,MAD1L1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ARCN1,ARCN1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,FSD1L,FSD1L
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ARHGAP5,ARHGAP5
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,C20orf27,C20orf27
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,CILP,CILP
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ASPH,ASPH
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,UTP15,UTP15
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,CCDC124,CCDC124
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,PKP2,PKP2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Leydig cell,CL_0000178,ZCCHC7,ZCCHC7
