species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ABCA1,ABCA1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,VIM,VIM
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ACADS,ACADS
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,DMD,DMD
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ACP5,ACP5
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ZAN,ZAN
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ACTB,ACTB
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ACTG2,ACTG2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ACTN1,ACTN1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,YWHAB,YWHAB
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ADD2,ADD2
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,DSP,DSP
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ALPPL2,ALPG
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,BLCAP,BLCAP
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,FXYD6,FXYD6
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,PNP,PNP
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ZNF138,ZNF138
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,PRDX3,PRDX3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ECE1,ECE1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ZYX,ZYX
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,AK4,AK4
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,EEF1G,EEF1G
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,PXDN,PXDN
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,TUBA1A,TUBA1A
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,EIF1AX,EIF1AX
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,EIF2S3,EIF2S3
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,SERINC5,SERINC5
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ALDOA,ALDOA
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ALDOC,ALDOC
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,CARHSP1,CARHSP1
Human,Gonad,Fetal gonad,,Normal,Normal cell,Mitotic fetal germ cell,CL_0000586,ANP32E,ANP32E
