species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,ZEB2,ZEB2
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,PD-1,PDCD1
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,EOMES,EOMES
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,TNFR1,TNFRSF1A
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,PRDM1,PRDM1
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,TOX2,TOX2
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,NFATC3,NFATC3
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,Galectin-9,
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,CD160,CD160
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,TNFR2,TNFRSF1B
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,PTGER4,PTGER4
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,IRF7,IRF7
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,NFATC1,NFATC1
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,NFATC2,NFATC2
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,PTGER2,PTGER2
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,LAG-3,
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,KI-67,
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,Helios,
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,TIGIT,TIGIT
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,BHLHE40,BHLHE40
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,TOX3,TOX3
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,SIRT1,SIRT1
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,TOX,TOX
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,TOX4,TOX4
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,TIM-3,
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,KLRG1,KLRG1
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,VISTA,VSIR
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,CERS6,CERS6
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,CD244,CD244
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,PD-L1,CD274
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,PDCD1,PDCD1
Human,Intestine,Intestine,UBERON_0000160,Colorectal Cancer,Cancer cell,Exhausted T(Tex) cell,CL_0011025,HAVCR2,HAVCR2
