species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,EVI2B,EVI2B
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,RAP2B,RAP2B
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,GLA,GLA
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,LOC100130357,
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CD68,CD68
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,LOC100130476,
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,RASSF5,RASSF5
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SLC25A37,SLC25A37
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,ITGAX,ITGAX
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,NINJ2,NINJ2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,FGD2,FGD2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,LILRB1,LILRB1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,NLRP3,NLRP3
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CLEC2B,CLEC2B
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,ADCY9,ADCY9
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SLA,SLA
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,WDFY2,WDFY2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,NFAM1,NFAM1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,GNPDA1,GNPDA1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CD84,CD84
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,IL1RN,IL1RN
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SIGLEC11,SIGLEC11
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,F13A1,F13A1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,MS4A4A,MS4A4A
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,FAM168A,FAM168A
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,LILRB5,LILRB5
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CD163,CD163
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CASP1,CASP1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,NUFIP1,NUFIP1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,UAP1L1,UAP1L1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CD53,CD53
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CD86,CD86
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CSF2RB,CSF2RB
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,PGD,PGD
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,ODF3B,ODF3B
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,KIAA0930,KIAA0930
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,FAM26F,CALHM6
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,NCF2,NCF2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,WIPF1,WIPF1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,RIC1,RIC1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,ACTRT3,ACTRT3
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,ADCY7,ADCY7
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CD48,CD48
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,DOCK2,DOCK2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,PDE4B,PDE4B
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SLC37A2,SLC37A2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,WAS,WAS
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,PTPRE,PTPRE
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,THBD,THBD
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,LCP2,LCP2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,HCST,HCST
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CSF1R,CSF1R
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,IPMK,IPMK
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,LY86,LY86
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SIGLEC1,SIGLEC1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,TNFAIP2,TNFAIP2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,EIF4A3,EIF4A3
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,NAMPT,NAMPT
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SLC23A2,SLC23A2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SGPP1,SGPP1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,PFKFB3,PFKFB3
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SLC9A9,SLC9A9
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,WDFY4,WDFY4
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,HLA-DPA1,HLA-DPA1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,PPIF,PPIF
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,STK26,STK26
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,MS4A7,MS4A7
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CLEC7A,CLEC7A
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CLEC4G,CLEC4G
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,ACP5,ACP5
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SPI1,SPI1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SAMSN1,SAMSN1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SFMBT2,SFMBT2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CD83,CD83
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,LOC729732,
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,CCL3,CCL3
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,ADAP2,ADAP2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SH2B3,SH2B3
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,ABCG1,ABCG1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,DUSP2,DUSP2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,FAM175B,ABRAXAS2
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,AOAH,AOAH
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,SLC8B1,SLC8B1
Human,Intestine,Large intestine,UBERON_0000059,Normal,Normal cell,Paneth cell,CL_0000510,DUSP6,DUSP6
