species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Fbln2,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Flt1,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Ehd3,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Bmx,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Smad6,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Lpl,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Trpv4,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Mapt,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Mgp,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Kdr,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Tsapn7,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Plat,
Human,Kidney,Kidney,UBERON_0002113,Normal,Normal cell,Glomerular endothelial cell,CL_0002188,Emcn,
