species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,FUT8,FUT8
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,SLC9A9,SLC9A9
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,GSPT1,GSPT1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,DR1,DR1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,ITGA2,ITGA2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,LINC00963,LINC00963
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,MAP1LC3A,MAP1LC3A
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,ATXN1,ATXN1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,CTSD,CTSD
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,SMC5,SMC5
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,BST2,BST2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,METTL8,METTL8
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,OGG1,OGG1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,ADAM19,ADAM19
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,NMI,NMI
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,TRPS1,TRPS1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,CCDC50,CCDC50
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,LYST,LYST
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,SHFM1,DLX5
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,UNQ6494,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,SUSD6,SUSD6
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,DUSP4,DUSP4
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,PRKAG1,PRKAG1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,SRGN,SRGN
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,MAPKAPK3,MAPKAPK3
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,CAMK1,CAMK1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,CDKN2A,CDKN2A
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,ETV7,ETV7
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,ITM2A,ITM2A
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,LAP3,LAP3
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,BTLA,BTLA
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,BATF,BATF
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,ZEB1,ZEB1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,LASP1,LASP1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,CD82,CD82
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,DBNL,DBNL
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,GBP4,GBP4
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,RABGAP1L,RABGAP1L
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,PKM,PKM
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,RILPL2,RILPL2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,TMEM2,CEMIP2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,ENTPD1,ENTPD1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,SFXN1,SFXN1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,AHI1,AHI1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,BHLHE40-AS1,BHLHE40-AS1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,NUTF2,NUTF2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,C9orf16,BBLN
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,GNG4,GNG4
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,IFI35,IFI35
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,TOX2,TOX2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,KCNK5,KCNK5
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,CD84,CD84
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,GAPDH,GAPDH
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,TNFSF8,TNFSF8
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,ASB2,ASB2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,RGS1,RGS1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,DNPH1,DNPH1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,IFI27L2,IFI27L2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,CAPZB,CAPZB
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,SLC6A6,SLC6A6
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,TNFRSF18,TNFRSF18
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,HAVCR2,HAVCR2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,PTPN11,PTPN11
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,RNF19A,RNF19A
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,TBXAS1,TBXAS1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,CREM,CREM
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,CLTC,CLTC
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,UBE2L6,UBE2L6
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,GALM,GALM
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,NAB1,NAB1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,IFNG,IFNG
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,ATP5C1,ATP5F1C
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,SQRDL,SQOR
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Exhausted CD4+ T cell,CL_0000624,TIGIT,TIGIT
