species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,IL23R,IL23R
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,RORA,RORA
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,NRIP1,NRIP1
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,RORC,RORC
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,NR1D1,NR1D1
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,JAML,JAML
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,SESN1,SESN1
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,ERN1,ERN1
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,TBC1D31,TBC1D31
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,LTK,LTK
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,CCR6,CCR6
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,SLAMF1,SLAMF1
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,TC2N,TC2N
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,PNP,PNP
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,PBXIP1,PBXIP1
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,CEBPD,CEBPD
Human,Liver,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Mucosal-associated invariant T cell,CL_0000940,PRNP,PRNP
