species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,OV6,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CD34,CD34
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,c-Kit,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,NCAM,NCAM1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,Nestin,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,EpCAM,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,AFP,AFP
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,THY1,THY1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CD133,PROM1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CK19,KRT19
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,EpCAM,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,FAT10,UBD
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,GST-P,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CK19,KRT19
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,OCT3/4,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,EpCAM,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CD133,PROM1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,DCAMKL-1,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CK19,KRT19
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,EpCAM,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CD133,PROM1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,SOX9,SOX9
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,DLK1,DLK1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,ADAM17,ADAM17
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,Musashi-1,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CD44,CD44
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,Nestin,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,OCT3/4,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,NANOG,NANOG
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CD133,PROM1
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CD49f,ITGA6
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,SOX2,SOX2
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,EpCAM,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,c-Kit,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,CD44,CD44
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,ALDH,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,Keratin-18,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,Keratin-19,
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,LIN28,LIN28A
Human,Liver,Liver,UBERON_0002107,Normal,Normal cell,Stem cell,CL_0000034,LGR5,LGR5
