species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,DAPL1,DAPL1
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,MUC5B,MUC5B
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,PRR4,PRR4
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,LTF,LTF
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,TUBB1,TUBB1
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,CCDC78,CCDC78
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,TP73,TP73
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,SFTPC,SFTPC
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,ASCL3,ASCL3
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,SPDEF,SPDEF
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,CALCA,CALCA
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,SFTPB,SFTPB
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,PDPN,PDPN
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,CYP2F2,
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,KRT14,KRT14
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,TP63,TP63
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,KRT5,KRT5
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,SCGB3A2,SCGB3A2
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,SFTPD,SFTPD
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,DCLK1,DCLK1
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,ASCL1,ASCL1
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,MUC5AC,MUC5AC
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,CFTR,CFTR
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,CLIC5,CLIC5
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,MUC1,MUC1
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,AGER,AGER
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,FOXJ1,FOXJ1
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,FOXI1,FOXI1
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,CCKAR,CCKAR
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,ETV5,ETV5
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,ASCL2,ASCL2
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,LPO,LPO
Human,Lung,Bronchial vessel,,Normal,Normal cell,Epithelial cell,CL_0000066,CHGA,CHGA
