species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,IL8,CXCL8
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,CCR7,CCR7
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,IRF5,IRF5
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,TNF,TNF
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,FCGR1C,FCGR1CP
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,CXCL9,CXCL9
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,IL1B,IL1B
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,CCL5,CCL5
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,IL6,IL6
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,IL12A,IL12A
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,FCGR1A,FCGR1A
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,HLA-DRA,HLA-DRA
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,FCGR1B,
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,IL12B,IL12B
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,IL23A,IL23A
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,IRF1,IRF1
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,CXCL10,CXCL10
Human,Lung,Lung,UBERON_0002048,Lung Adenocarcinoma,Cancer cell,M1 macrophage,CL_0000863,IL1A,IL1A
