species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,ARG1,ARG1
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,CD206,MRC1
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,CD163,CD163
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,CD68,CD68
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,MMP12,MMP12
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,CD209,CD209
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,ADORA3,ADORA3
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,CD209 ,
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,IRF4,IRF4
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,STAT6,STAT6
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,IL10,IL10
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,SOCS3,SOCS3
Human,Lung,Lung,UBERON_0002048,Non-small Cell Lung Cancer,Cancer cell,M2 macrophage,CL_0000890,CD206,MRC1
