species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,ACER3,ACER3
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,KCNJ14,KCNJ14
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,EXOC3L2,EXOC3L2
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,OPA3,OPA3
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,TRIM58,TRIM58
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,ZNF454,ZNF454
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,FBXO48,FBXO48
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,SETD4,SETD4
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,MID1,MID1
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,PTK6,PTK6
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,ZNF429,ZNF429
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,ZNF737,ZNF737
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,DLEC1,DLEC1
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,TRIP13,TRIP13
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,ZNF273,ZNF273
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,UBN2,UBN2
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,NME6,NME6
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,ADAM17,ADAM17
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,SCIN,SCIN
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,NEK11,NEK11
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,IL17RA,IL17RA
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,DCP1A,DCP1A
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,NXF2B,NXF2B
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,CCAR1,CCAR1
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,SOGA3,SOGA3
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,TMEM198B,TMEM198B
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,FAM227A,FAM227A
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,SMYD4,SMYD4
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,MAP4K1,MAP4K1
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,C21orf62,C21orf62
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,RNPC3,RNPC3
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,USP54,USP54
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,PLEKHG6,PLEKHG6
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,ZNF793,ZNF793
Human,Lung,Lung,UBERON_0002048,Normal,Normal cell,SLC16A7+ cell,CL_0000066,PIPOX,PIPOX
