species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,CD2,CD2
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,CD4,CD4
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,CD5,CD5
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,CD3,
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,CD2,CD2
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,FCR,
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,CD45,PTPRC
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,THY1,THY1
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,CD3,
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,CD3D,CD3D
Human,Lymph node,Lymph node,UBERON_0000029,Normal,Normal cell,T cell,CL_0000084,CD3,
