species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ALDH,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,BMI1,BMI1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ABCG2,ABCG2
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD44,CD44
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,NANOG,NANOG
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,OCT4,POU5F1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,SOX2,SOX2
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD24,CD24
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD117,KIT
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,Nestin,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ALDH1,ALDH1A1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,EPCAM,EPCAM
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,MYD88,MYD88
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,PROM1,PROM1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ALDH1A2,ALDH1A2
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD44,CD44
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ALDH1A1,ALDH1A1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ABCG2,ABCG2
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD24,CD24
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ALDH1A3,ALDH1A3
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,KIT,KIT
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ALDH,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ALDH1A1,ALDH1A1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,LGR5,LGR5
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,ALDH,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,EpCAM,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD44,CD44
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD24,CD24
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,PROM1,PROM1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,CD44,CD44
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Cancer stem cell,,SOX2,SOX2
