species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,CLDN4,CLDN4
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,CDH1,CDH1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,KRT18,KRT18
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,EpCAM,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,OCLN,OCLN
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,CD24,CD24
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,KRT19,KRT19
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,DSP,DSP
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,E‐cadherin,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,β‐catenin,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,CK18,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,E-cadherin,
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,CK8,KRT8
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,PD-1,PDCD1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,TIGIT,TIGIT
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,EPCAM,EPCAM
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,SOX17,SOX17
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,CLDN4,CLDN4
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,EPCAM,EPCAM
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,CDH1,CDH1
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,WFDC2,WFDC2
Human,Ovary,Ovary,UBERON_0000992,Ovarian Cancer,Cancer cell,Epithelial cell,CL_0000066,KRT8,KRT8
