species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,DUOX2,DUOX2
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,C15orf48,C15orf48
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,SDC4,SDC4
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,SPINK1,SPINK1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,PLA2G1B,PLA2G1B
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,CXCL17,CXCL17
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,FGL1,FGL1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,REG3G,REG3G
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,CTRB1,CTRB1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,C4B,C4B
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,TPD52L1,TPD52L1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,PRSS3P2,
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,NFKBIA,NFKBIA
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,PDIA2,PDIA2
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,RP6-149D17.1,
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,GALNT7,GALNT7
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,AQP8,AQP8
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,AKR1C2,AKR1C2
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,AMYP1,AMYP1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,AMY2B,AMY2B
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,AMY2A,AMY2A
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,PNLIPRP1,PNLIPRP1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,PNLIPRP2,PNLIPRP2
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,CELA3B,CELA3B
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,REG1B,REG1B
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,FAM129A,NIBAN1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,CTRL,CTRL
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,REG3A,REG3A
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,U66061.39,
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,GNL3,GNL3
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,MAT1A,MAT1A
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,CA12,CA12
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,DUOXA2,DUOXA2
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,TRIB2,TRIB2
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,ZDHHC9,ZDHHC9
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,AZGP1,AZGP1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,CBS,CBS
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,CUZD1,CUZD1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,LGALS2,LGALS2
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,SLC25A37,SLC25A37
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,CELA3A,CELA3A
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,CELA2A,CELA2A
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Acinar cell,CL_0000622,PTGR1,PTGR1
