species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,Glucagon,
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,SRBD1,SRBD1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,TTR,TTR
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,HTR1F,HTR1F
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,HIGD1A,HIGD1A
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,GADD45G,GADD45G
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,KPNA6,KPNA6
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,TMCO3,TMCO3
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,GC,GC
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,GCG,GCG
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,TBC1D30,TBC1D30
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,SGCZ,SGCZ
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,PDZK1,PDZK1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,SREK1,SREK1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,HPS1,HPS1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,FAM110B,FAM110B
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,ASXL3,ASXL3
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,SLC38A4,SLC38A4
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,C21orf58,C21orf58
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,SORT1,SORT1
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,POPDC3,POPDC3
Human,Pancreas,Pancreatic islet,UBERON_0000006,Normal,Normal cell,Alpha cell (α cell),CL_0000171,RAB3C,RAB3C
