species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,P63,
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,SMA,SMN1
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,S100,S100A1
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,Calponin,
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,CD29,ITGB1
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,P63,
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,Calponin,
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,P63,
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,Actin,
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,S100,S100A1
Human,Salivary gland,Salivary gland,UBERON_0001044,Normal,Normal cell,Myoepithelial cell,CL_0000185,Calponin,
