species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,ICOS,ICOS
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,CD8A,CD8A
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,CD3E,CD3E
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,TNF,TNF
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,CD4,CD4
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,CD8B,CD8B
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,IL2,IL2
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,CD27,CD27
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,CD2,CD2
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,IL2RA,IL2RA
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,IFNG,IFNG
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,TNFRSF9,TNFRSF9
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,TNFRSF4,TNFRSF4
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,CD28,CD28
Human,Skin,Skin,UBERON_0002097,Normal,Normal cell,Activated T cell,CL_0000084,CD69,CD69
