species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CD45RA,
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,MS4A1,MS4A1
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CD79A,CD79A
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CD20,MS4A1
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CD1C,CD1C
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CR1,CR1
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,B cell,CL_0000236,CR2,CR2
