species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,CD4,CD4
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,CD8A,CD8A
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,CD3E,CD3E
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,CD3E,CD3E
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,TRDC,TRDC
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,IL32,IL32
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,IL7R,IL7R
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,KLRD1,KLRD1
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,TRAC,TRAC
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,CD3D,CD3D
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,TRGC2,TRGC2
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,CD8A,CD8A
Human,Spleen,Spleen,UBERON_0002106,Normal,Normal cell,CD8+ T cell,CL_0000625,CD8B,CD8B
