species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,ACACB,ACACB
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,C9orf156,TRMO
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,EMR1,ADGRE1
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,GPR44,PTGDR2
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,ABHD2,ABHD2
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,THBS1,THBS1
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,IL5RA,IL5RA
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,HRH4,HRH4
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,KBTBD11,KBTBD11
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,LRP5L,LRP5L
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,THBS4,THBS4
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,CCR3,CCR3
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,GALC,GALC
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,HIST1H1C,H1-2
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,CYSLTR2,CYSLTR2
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,RCOR3,RCOR3
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,TKTL1,TKTL1
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,CLC,CLC
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,IGSF2,CD101
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,KCNH2,KCNH2
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,SIAH1,SIAH1
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,RRP12,RRP12
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,TIPARP,TIPARP
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,CAT,CAT
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,SYNJ1,SYNJ1
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,SMPD3,SMPD3
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,MYO15B,MYO15B
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,TGIF1,TGIF1
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,HES1,HES1
Human,Stomach,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Eosinophil,CL_0000771,RNASE2,RNASE2
