species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD19,CD19
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD34,CD34
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD44,CD44
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD166,ALCAM
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD13,ANPEP
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD340,ERBB2
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD49e,ITGA5
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD51,ITGAV
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD29,ITGB1
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD117,KIT
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD10,MME
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD56,NCAM1
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD271,NGFR
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD73,NT5E
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD31,PECAM1
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD45,PTPRC
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD71,TFRC
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD120a,TNFRSF1A
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD106,VCAM1
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD140b,
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD49d,
Human,Tendon,Tendon,UBERON_0000043,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,Ly6A/E,
