species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,CD44,CD44
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,CD105,
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,CD29,ITGB1
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,CD73,NT5E
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,Mitofilin,
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,3C4,
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,CD44,CD44
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,CD45,PTPRC
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,STRO-1,
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,CD73,NT5E
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,ALDH1,ALDH1A1
Human,Tooth,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,CD90,THY1
