species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD166,ALCAM
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,STRO-1,
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD146,MCAM
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,STRO-1,
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD34,CD34
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD146,MCAM
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD71,TFRC
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD49f,ITGA6
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD24,CD24
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,STRO-1,
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD81,CD81
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD146,MCAM
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Tooth,Tooth,UBERON_0001091,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD34,CD34
