species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD45,PTPRC
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD31,PECAM1
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,HLA-DR,
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD34,CD34
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD73,NT5E
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,HLA-I,
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD29,ITGB1
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD44,CD44
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD73,NT5E
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD45,PTPRC
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD34,CD34
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD31,PECAM1
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD14,CD14
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD44,CD44
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD133,PROM1
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD34,CD34
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD29,ITGB1
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD34,CD34
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD90,THY1
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD73,NT5E
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD29,ITGB1
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD105,
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD26,DPP4
Human,Umbilical cord,Umbilical cord,UBERON_0002331,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD44,CD44
