species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,BCR,BCR
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD2,CD2
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD5,CD5
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD9,CD9
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD14,CD14
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD22,CD22
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD27,CD27
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD80,CD80
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD86,CD86
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD34,CD34
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD38,CD38
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD40,CD40
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD48,CD48
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD69,CD69
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD70,CD70
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD81,CD81
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CCR10,CCR10
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CXCR3,CXCR3
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,ZAP70,ZAP70
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD84,CD84
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD83,CD83
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD163,CD163
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD24,CD24
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD185,CXCR5
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD20,MS4A1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD39,ENTPD1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD194,CCR4
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD196,CCR6
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD35,CR1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD21,CR2
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD115,CSF1R
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD152,CTLA4
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD23,FCER2
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD32,FCGR2A
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD16,FCGR3A
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD183,CXCR3
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD25,IL2RA
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD122,IL2RB
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD126,IL6R
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD130,IL6ST
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD127,IL7R
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD212,IL12RB1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD137,TNFRSF9
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD229,LY9
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD10,MME
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD73,NT5E
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD279,PDCD1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,PD-1,PDCD1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD31,PECAM1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,B220,PTPRC
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD45,PTPRC
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD45R,PTPRC
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD138,SDC1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD62L,SELL
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD43,SPN
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD284,TLR4
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD218a,IL18R1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD267,TNFRSF13B
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD217,IL17RA
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD319,SLAMF7
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,BAFF-R,TNFRSF13C
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD268,TNFRSF13C
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD192,CCR2
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD11b,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD11c,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD1c,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD1d,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD45RA,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD45RO,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD49d,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD78,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD79a,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD79b,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,Flt3,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,IgM,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,IL-13alpha1,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,IL-21R,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,MHC class II,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,RAG,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,IgD,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,OX40L,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,MB2,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD10,MME
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,PAX5,PAX5
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD20,MS4A1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD10,MME
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD150,SLAMF1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,FMC7,MS4A1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD37,CD37
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CCR7,CCR7
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD62L,SELL
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD40,CD40
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD73,NT5E
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,JCHAIN,JCHAIN
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD3E,CD3E
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD38,CD38
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD27,CD27
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,IgD,
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,MS4A1,MS4A1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD79A,CD79A
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,MS4A1,MS4A1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD79B,CD79B
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD79A,CD79A
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,EBF1,EBF1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,FOXO1,FOXO1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,GABPB1,GABPB1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,PTPRC,PTPRC
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,ITGA4,ITGA4
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,NFKB1,NFKB1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,ITGB1,ITGB1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD27,CD27
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,SOX4,SOX4
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD19,CD19
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,SDC1,SDC1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,PAX5,PAX5
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,LEF1,LEF1
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD320,CD320
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CR2,CR2
Human,Undefined,Undefined,,Normal,Normal cell,B cell,CL_0000236,CD40,CD40
