species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,ABCG2,ABCG2
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD117,KIT
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD90,THY1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,Aldehyde Dehydrogenase 1-A1,
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,EpCAM,
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD44,CD44
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD117,KIT
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,Side population,
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD87,PLAUR
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,PTCH,PTCH1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,FZD,
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,ALDH,
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,ALDH1,ALDH1A1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD90,THY1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,ALDH1A1,ALDH1A1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD44,CD44
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,ABCG2,ABCG2
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD45,PTPRC
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD166,ALCAM
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,PECAM,
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD44,CD44
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,SCA-1,CASP3
Human,Undefined,Undefined,,Lung Cancer,Cancer cell,Cancer stem cell,,CD133,PROM1
