species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD14,CD14
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD80,CD80
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD86,CD86
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD33,CD33
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD40,CD40
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD63,CD63
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CXCL2,CXCL2
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CXCL10,CXCL10
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CXCL9,CXCL9
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CXCL11,CXCL11
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD163,CD163
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,GPNMB,GPNMB
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD195,CCR5
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD115,CSF1R
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD64,FCGR1A
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD32,FCGR2A
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD16,FCGR3A
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD15,FUT4
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD107b,LAMP2
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD169,SIGLEC1
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD282,TLR2
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD284,TLR4
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,GITRL,TNFSF18
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD354,TREM1
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD85,LILRA5
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD105,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD11a,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD11b,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD11c,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD85k,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,F4/80,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,HLA-DR,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,Mac-2,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,MHC Class II,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,Macrophage galactose-type C-type lectin,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,transglutaminase-2,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD200R,CD200R1
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD23,FCER2
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CCL2,CCL2
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CCR2,CCR2
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD40,CD40
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CSF1,CSF1
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CSF1R,CSF1R
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,PTPRC,PTPRC
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,MARCO,MARCO
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,HLA-DRA,HLA-DRA
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD14,CD14
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CSF1R,CSF1R
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,C1QB,C1QB
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,SPI1,SPI1
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD163,CD163
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,25F9,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,Pp65,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,FAP,FAP
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,APOE,APOE
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,MRC1,MRC1
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,TREM2,TREM2
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,MHCII,
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,C1QC,C1QC
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,SPP1,SPP1
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD163,CD163
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD14,CD14
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD4,CD4
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Macrophage,CL_0000235,CD68,CD68
