species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD44,CD44
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD55,CD55
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,S100A8,S100A8
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,S100A9,S100A9
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD93,CD93
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD177,CD177
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD24,CD24
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD157,BST1
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD66b,CEACAM8
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD35,CR1
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD116,CSF2RA
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD114,CSF3R
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD89,FCAR
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD32,FCGR2A
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD16,FCGR3A
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD15,FUT4
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD181,CXCR1
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD18,ITGB2
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD10,MME
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD66c,CEACAM6
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD112,NECTIN2
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD43,SPN
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD281,TLR1
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD282,TLR2
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD284,TLR4
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD286,TLR6
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD289,TLR9
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD11b,
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD17,
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD66a,
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD66d,
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD16b,FCGR3B
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD14,CD14
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,S100A8,S100A8
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CEACAM8,CEACAM8
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,S100A9,S100A9
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,Ly6G,
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,IL-8,
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,H3Cit,
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,MPO,MPO
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD16b,FCGR3B
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,ITGAM,ITGAM
Human,Undefined,Undefined,,Normal,Normal cell,Neutrophil,CL_0000775,CD11b,
