species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD166,ALCAM
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,STRO-1,
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD73,NT5E
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD44,CD44
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD146,MCAM
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD105,
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD13,ANPEP
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD29,ITGB1
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,NG2,CSPG4
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,alpha-SMA,
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD90,THY1
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD140,
Human,Undefined,Undefined,,Normal,Normal cell,Pericyte,CL_0000669,CD10,MME
