species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD4,CD4
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CTLA4,CTLA4
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,SMAD3,SMAD3
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD101,CD101
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,FOXP3,FOXP3
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,TIGIT,TIGIT
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,LAP,LAP
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD39,ENTPD1
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD194,CCR4
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,GARP,CNGB1
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD152,CTLA4
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD25,IL2RA
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,IL-10,IL10
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD137,TNFRSF9
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD103,ITGAE
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD223,LAG3
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD73,NT5E
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD62L,SELL
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,STAT5,STAT5A
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD134,TNFRSF4
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD121b,IL1R2
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD357,TNFRSF18
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,GITR,TNFRSF18
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,HELIOS,IKZF2
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,EOS,EOS
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,IL-12,
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,TGF-beta,
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,FR4,
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,c-Rel,
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD121a,
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,LAG-3,
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD49b,
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,CD49b,
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,LAG3,LAG3
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,,CXCR6,CXCR6
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,,Foxp3,
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,,GITR,TNFRSF18
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,,CTLA-4,CTLA4
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,,CD25,IL2RA
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,,CCR4,CCR4
Human,Undefined,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,,Ikzf2,
