species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD5,CD5
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD80,CD80
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD86,CD86
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD33,CD33
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD34,CD34
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD38,CD38
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD40,CD40
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD48,CD48
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD81,CD81
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CXCR3,CXCR3
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD83,CD83
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD209,CD209
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD207,CD207
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,TLR7,TLR7
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD39,ENTPD1
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD324,CDH1
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD196,CCR6
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD21,CR2
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD115,CSF1R
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD23,FCER2
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD183,CXCR3
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD123,IL3RA
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD127,IL7R
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD103,ITGAE
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD117,KIT
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD205,LY75
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD10,MME
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD206,MRC1
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD73,NT5E
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD169,SIGLEC1
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD141,THBD
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD282,TLR2
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD106,VCAM1
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD304,NRP1
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD85g,LILRA4
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD289,TLR9
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD319,SLAMF7
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD303,CLEC4C
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD192,CCR2
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD11b,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD11c,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD198,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD1a,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD1c,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD1d,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD45RA,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,CD49d,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,Dectin-1,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,Flt3,
Human,Undefined,Undefined,,Normal,Normal cell,Specialist antigen presenting cell,,MHC class II,
