species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD34,CD34
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,MMP1,MMP1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,MMP2,MMP2
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,MMP9,MMP9
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,TIMP1,TIMP1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,TIMP2,TIMP2
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,TLR1,TLR1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,TLR2,TLR2
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,TLR3,TLR3
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,TLR4,TLR4
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,MADCAM1,MADCAM1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD157,BST1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD54,ICAM1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD102,ICAM2
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD50,ICAM3
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD51,ITGAV
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD29,ITGB1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD61,ITGB3
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD117,KIT
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD10,MME
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD31,PECAM1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD90,THY1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD106,VCAM1
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD140a,
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD140b,
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,CD49d,
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,LT-betaR,
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,GD2,
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,Podoplanin,
Human,Undefined,Undefined,,Normal,Normal cell,Stromal cell,CL_0000499,Stro-1,
