species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD2,CD2
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD4,CD4
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD5,CD5
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD7,CD7
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD9,CD9
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD27,CD27
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD80,CD80
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD86,CD86
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD34,CD34
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD38,CD38
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD48,CD48
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD68,CD68
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD69,CD69
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD81,CD81
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CCR10,CCR10
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CXCR3,CXCR3
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD200,CD200
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,ZAP70,ZAP70
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD84,CD84
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD83,CD83
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,KLRG1,KLRG1
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD160,CD160
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD244,CD244
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD13,ANPEP
Human,Undefined,Undefined,,Normal,Normal cell,T cell,CL_0000084,CD178,FASLG
