species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD4,CD4
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CCR4,CCR4
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CCR8,CCR8
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,GATA3,GATA3
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IRF4,IRF4
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,STAT6,STAT6
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,BATF,BATF
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD193,CCR3
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD194,CCR4
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD197,CCR7
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-2,IL2
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-4,IL4
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-5,IL5
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-6,IL6
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-9,IL9
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-10,IL10
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-13,IL13
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,STAT5,STAT5A
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD184,CXCR4
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD294,PTGDR2
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD365,HAVCR1
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD278,ICOS
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,TNF-RI,
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-1R,
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,Crth2,
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-33,
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,c-Maf,
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,GM-CSF,
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,CD198,
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-25R,
Human,Undefined,Undefined,,Normal,Normal cell,T helper2 (Th2) cell,CL_0000546,IL-33R,
