species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,HAVCR2,HAVCR2
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,LAYN,LAYN
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,IRF4,IRF4
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,TIGIT,TIGIT
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,HSPB1,HSPB1
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,CXCL13,CXCL13
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,PDCD1,PDCD1
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,CTLA4,CTLA4
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,GIMAP6,GIMAP6
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,LAG3,LAG3
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,CXCR6,CXCR6
Human,Undefined,Undefined,,Melanoma,Cancer cell,Exhausted CD8+ T cell,CL_0000625,HSPH1,HSPH1
