broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Mesenchymal stem cell,,CD34,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,STRO-1,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD56,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD44,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD271,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD29,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD13,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD90,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD105,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,NCAM1,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,NGFR,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ITGB1,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ANPEP,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,THY1,Human,Adipose tissue,Fat pad,Normal,Normal cell,Mesenchymal stem cell
